p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.91680996344876e-20	3.96051147805559	0.012	0.001	5.47747743036043e-16	0	AC140346.1
4.05883118598049e-42	3.68833583027775	0.031	0.004	7.62207908415277e-38	0	Tbx10
1.5043934390241e-26	3.67440761689169	0.02	0.002	2.82510043914336e-22	0	Gm15563
3.37920585252621e-28	3.47822650334742	0.021	0.003	6.34581067045898e-24	0	Gm33050
1.69344931867998e-93	3.37093756831928	0.081	0.012	3.18012847554914e-89	0	Gm48281
2.08481187630793e-30	3.17789404270065	0.023	0.003	3.91506822251866e-26	0	Fancd2os
1.54428742807535e-25	3.06438770490059	0.02	0.003	2.9000173611827e-21	0	Ido2
3.01868860509154e-113	3.05540046043972	0.102	0.016	5.66879533150141e-109	0	Gm44785
0	3.02768880776184	0.738	0.255	0	0	Cndp2
5.44823453576524e-101	3.01438719418129	0.102	0.018	1.02312396347135e-96	0	Hsf2bp
1.395893056989e-64	7.15853085244337	0.023	0	2.62134757171964e-60	1	Gm43698
4.01206733696038e-33	6.83934114520008	0.012	0	7.5342612520779e-29	1	1700062C10Rik
0	5.96272170300345	0.243	0.005	0	1	Dapl1
2.39575200359913e-43	5.43768783827762	0.019	0.001	4.4989826875588e-39	1	Gpr83
0	5.01623952183302	0.343	0.013	0	1	Ccr7
4.20733239534913e-24	4.6837483151888	0.011	0	7.90094950522613e-20	1	Gm33994
7.48455845440821e-204	4.46143362377711	0.103	0.006	1.40552523215332e-199	1	Nsg2
0	4.12743250031992	0.462	0.04	0	1	Lef1
0	4.10543218515876	0.576	0.054	0	1	Tcf7
4.30324636984292e-25	4.05509856085169	0.016	0.001	8.08106635792802e-21	1	Gm9889
3.10582806900794e-64	6.3480203798874	0.023	0	5.83243453079e-60	2	Trav11
8.50223813886018e-114	5.95115034255544	0.045	0.001	1.59663530009655e-109	2	Mmp9
7.65109187281175e-39	4.20521945193296	0.019	0.001	1.43679854279532e-34	2	Mmp16
1.69389587718795e-34	4.02362456705334	0.021	0.002	3.18096706777124e-30	2	Gm35363
0	3.92032045961893	0.242	0.013	0	2	Xcl1
1.01381055117088e-111	3.90050921192362	0.076	0.007	1.90383483404379e-107	2	Tcrg-C4
7.82867107933653e-70	3.89311367094453	0.054	0.006	1.47014614198861e-65	2	Prrt1
0	3.89307950757927	0.338	0.032	0	2	Cxcr3
3.13019822506694e-28	3.73555658361692	0.019	0.002	5.8781992468532e-24	2	Spin2c
3.1847983076415e-62	3.67154176030855	0.048	0.005	5.98073274191996e-58	2	Crybg2
7.10493935212087e-108	6.29753490918798	0.038	0	1.33423656093478e-103	3	4930533I22Rik
1.1576992588891e-33	6.25281276106804	0.012	0	2.17404343826784e-29	3	Vmn1r18
1.74843563595227e-29	5.83849400426023	0.011	0	3.28338728075476e-25	3	Vmn1r19
7.95593130494542e-151	5.41288678292224	0.056	0.001	1.4940443397557e-146	3	Gm15354
4.75085719932406e-89	5.13695432934672	0.033	0.001	8.92163473461065e-85	3	Vmn1r20
2.83414366192709e-34	4.94152644723234	0.013	0	5.32223838273288e-30	3	Gm48362
2.14584320833892e-27	4.86884439440272	0.01	0	4.02967896093966e-23	3	Gm6999
0	4.84121935370066	0.717	0.045	0	3	Gm45792
0	4.78715382715619	0.66	0.045	0	3	Nat8f6
3.51495019568177e-26	4.7232630860646	0.011	0	6.6007249724708e-22	3	Gm31651
4.61531113156219e-72	6.67690200980469	0.026	0	8.66709277396064e-68	4	Slitrk1
0	5.77868021722651	0.722	0.031	0	4	Snhg11
3.41013142082019e-179	5.70466473605625	0.07	0.002	6.40388579515824e-175	4	Col8a1
1.68490180921077e-181	5.3832661257766	0.078	0.002	3.16407710751691e-177	4	4921539H07Rik
1.48491599712849e-49	5.23498812504332	0.02	0	2.78852375100759e-45	4	Gm47564
1.7932802196047e-297	4.97517045135914	0.137	0.005	3.36760092439567e-293	4	Adra1a
