p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.92707025535161e-117	4.21644241288989	0.011	0.001	5.49674523252479e-113	0	Vmn1r19
4.21847124609972e-169	4.06868737427669	0.016	0.001	7.92186715305066e-165	0	Gm31774
0	3.97278281734591	0.035	0.002	0	0	4930533I22Rik
0	3.9652822586022	0.062	0.003	0	0	Gm15354
0	3.78990990440743	0.038	0.002	0	0	Vmn1r20
3.80791467029265e-92	3.64975389407549	0.01	0.001	7.15088295934257e-88	0	B230209E15Rik
2.612125124722e-155	3.55119719507498	0.015	0.001	4.90530977171544e-151	0	Gm13936
5.41107226117387e-132	3.50680452115983	0.014	0.001	1.01614525992584e-127	0	Gm3411
0	3.48497617761782	0.131	0.013	0	0	Cxcl1
0	3.46080048661563	0.686	0.084	0	0	Gm45792
1.60523241577366e-126	2.3038753986953	0.057	0.02	3.01446595358135e-122	1	Gm4208
1.61866856568706e-185	2.28348181275383	0.071	0.022	3.03969769950373e-181	1	Gm48281
8.93439643717393e-22	1.97745907211211	0.012	0.005	1.67779030693689e-17	1	Gm15563
0	1.95867310027997	0.778	0.394	0	1	Cndp2
2.62099673754782e-66	1.95806728823825	0.03	0.01	4.92196977344106e-62	1	Smcp
0	1.92249309107416	0.933	0.796	0	1	Kap
1.09122586145594e-191	1.87227467048778	0.108	0.043	2.04921304522812e-187	1	Gm44785
3.70540415794834e-25	1.78485153517052	0.017	0.007	6.95837846821118e-21	1	Tbx10
5.32558195047008e-26	1.77157298430516	0.017	0.007	1.00009103447878e-21	1	Gm33050
9.51199544419831e-25	1.73556900009798	0.017	0.007	1.786257624466e-20	1	Urah
0	4.65615995258076	0.613	0.054	0	2	Snhg11
1.02989749629049e-171	4.52026709949523	0.017	0.001	1.93404450828391e-167	2	Gm47564
2.96177133685558e-136	4.3812210488843	0.014	0.001	5.56191039348109e-132	2	4930458D05Rik
1.217290778189e-182	4.17666817440195	0.023	0.002	2.28595035236112e-178	2	Slitrk1
0	4.03606717598472	0.057	0.005	0	2	4921539H07Rik
0	4.03184604251873	0.052	0.004	0	2	Col8a1
4.46440366055664e-57	3.58667145498965	0.01	0.001	8.38370363415932e-53	2	Gm40055
0	3.57305412074173	0.752	0.096	0	2	Slc5a12
0	3.5222841133304	0.123	0.015	0	2	Adra1a
3.38865737242343e-111	3.3505858133378	0.019	0.002	6.36355967967396e-107	2	Adam11
1.19248810058493e-125	2.10705413610937	0.108	0.042	2.23937340408844e-121	3	Cyp2a4
1.59639434945733e-17	2.07795744827991	0.011	0.004	2.99786894884592e-13	3	Apoh
1.35383661258382e-16	2.068865821501	0.01	0.003	2.54236977477116e-12	3	Ces2b
0	1.98987992113856	0.83	0.445	0	3	Cyp4b1
0	1.97564980620461	0.657	0.305	0	3	Slc22a6
2.08553707156827e-240	1.96981414830084	0.24	0.106	3.91643006669805e-236	3	Slco1a1
0	1.93365387287332	0.504	0.251	0	3	Ugt2b38
1.51784296178431e-146	1.90590324965185	0.115	0.042	2.85035729793476e-142	3	Cyp2a5
