p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
0	0.597357688527511	0.95	0.907	0	0	Cox6a1
0	0.675551107443033	0.993	0.959	0	0	Gpx1
0	0.550160600380166	0.954	0.92	0	0	Uqcr11
0	0.542702301015797	0.963	0.93	0	0	Uqcrq
0	0.557566309985422	0.963	0.933	0	0	Ndufa2
0	0.528234708953514	0.984	0.961	0	0	Atp5e
0	0.524096076558685	0.993	0.974	0	0	Cox6c
0	0.471863451447494	0.995	0.977	0	0	Rplp1
0	0.594436412024729	0.998	0.98	0	0	Cox8a
0	0.362459026369742	0.999	0.991	0	0	mt-Nd4
0	0.389612506403285	1	0.992	0	0	mt-Cytb
0	0.397188113891017	1	0.994	0	0	mt-Nd1
0	0.372267845288013	1	0.994	0	0	mt-Co2
0	0.407664081488325	1	0.997	0	0	Fxyd2
0	0.412992456587919	1	0.998	0	0	mt-Co3
0	0.516968826572189	1	0.999	0	0	Fth1
0	0.387674249324762	1	0.999	0	0	mt-Atp6
4.94065645841247e-323	0.492417331905565	0.972	0.944	9.27805876325277e-319	0	Serf2
7.16207441524388e-319	0.423574717345654	0.99	0.979	1.34496595443865e-314	0	Rps29
8.57441047044567e-319	0.420170844512934	0.994	0.976	1.61018854224499e-314	0	Rps19
3.45000111703192e-318	0.459522559366444	0.981	0.958	6.47875709767425e-314	0	Uqcr10
2.48479175832295e-312	0.427013384762304	0.991	0.972	4.66619044295467e-308	0	Rpl32
3.83882127379653e-308	0.479947758782131	0.977	0.951	7.2089224700625e-304	0	Rpl39
7.15057885066088e-304	0.478178161285813	0.966	0.937	1.34280720236561e-299	0	Cox7a2
5.99514517118636e-303	0.321358120474137	1	0.995	1.12582831169709e-298	0	mt-Co1
3.25750111615307e-300	0.481242548051705	0.977	0.941	6.11726134602385e-296	0	Cox6b1
9.28099139316898e-291	0.413445503258505	0.988	0.965	1.7428773737232e-286	0	Rpl35a
5.8589037151497e-266	0.422641570422461	0.979	0.963	1.10024352866796e-261	0	Rps28
3.49980958607871e-265	0.412320110021296	0.989	0.966	6.57229242169721e-261	0	Rps2
6.53515969948116e-264	0.422283060106889	0.981	0.963	1.22723763996557e-259	0	Rps17
6.95588458175846e-262	0.434003598365032	0.977	0.954	1.30624556560842e-257	0	Cox7c
7.00132468763831e-261	0.376691363321889	0.987	0.976	1.3147787630916e-256	0	Rpl37a
9.12612926936722e-261	0.359950284240015	0.993	0.983	1.71379581549447e-256	0	Tpt1
9.3344152395108e-259	0.431820690640562	0.971	0.956	1.75290983782773e-254	0	Rpl36
1.00003119737603e-255	0.450822679148531	0.973	0.938	1.87795858555244e-251	0	Chchd10
3.71422545283022e-249	0.559999816843497	0.903	0.866	6.97494397786987e-245	0	Rps27l
8.23362051005156e-248	0.444876090878423	0.97	0.937	1.54619159558258e-243	0	Rpl18a
2.63368502947461e-235	0.482095890781614	0.934	0.909	4.94579711685038e-231	0	Ndufa6
3.19278487880825e-233	0.448851657399289	0.993	0.942	5.99573072391402e-229	0	Ftl1-ps1
9.77432392063359e-229	0.40620081256947	0.974	0.955	1.83552028905578e-224	0	Rpl27a
2.76911329835006e-221	0.515728364428585	0.914	0.869	5.20011786297158e-217	0	Cycs
3.20738213019395e-220	0.524781925856001	0.906	0.868	6.02314290229121e-216	0	2010107E04Rik
4.11380851185247e-216	0.373088509661982	0.984	0.968	7.72532100440776e-212	0	Rpl23
2.45219379267765e-211	0.360443818002328	0.987	0.966	4.60497472326936e-207	0	Rps23
1.04541222831728e-210	0.564511897905918	0.85	0.751	1.96317962355703e-206	0	Cndp2
9.34311808149819e-203	0.497012237192902	0.907	0.861	1.75454414452454e-198	0	Cox7b
2.94677751583023e-202	0.417283186005365	0.952	0.935	5.53375349697758e-198	0	Rps25
1.33761312501375e-198	0.401030283371669	0.96	0.932	2.51190368746331e-194	0	Rplp2
3.95303815916659e-194	0.599601782386211	0.827	0.782	7.42341035909894e-190	0	Ndufa7
7.69964536129385e-193	0.365211932591083	0.975	0.954	1.44591640239737e-188	0	Rpl37
8.36401224972549e-191	0.425547624139079	0.931	0.9	1.57067786037595e-186	0	Atp5g1
1.21169031437126e-190	0.266547850460954	0.994	0.97	2.27543324135779e-186	0	mt-Nd2
1.12643878507606e-185	0.373747287813488	0.962	0.947	2.11533939449434e-181	0	Rpl38
9.11834399416134e-185	0.386372059481481	0.963	0.943	1.71233381866356e-180	0	Rps24
1.51659418716125e-181	0.343988728325921	0.992	0.982	2.84801222407012e-177	0	Rpl41
2.76001005474566e-178	0.383860296519018	0.959	0.94	5.18302288180688e-174	0	Atpif1
3.89024629150203e-176	0.385831458701679	0.97	0.931	7.30549351081167e-172	0	Guca2b
8.54391579925275e-175	0.347851045441168	0.973	0.96	1.60446194794167e-170	0	Rpl28
2.50413988727811e-174	0.472795756425819	0.885	0.851	4.70252429431955e-170	0	Gng5
3.8644604822122e-173	0.378990323787259	0.955	0.938	7.25707033954629e-169	0	Rpl23a
2.3620476970633e-171	0.350850591803677	0.975	0.954	4.43568937031518e-167	0	Rpl17
1.49510908713717e-170	0.302599521861205	0.968	0.927	2.80766535473489e-166	0	Prdx5
1.90167268236169e-169	0.350850787348068	0.966	0.922	3.57115113020701e-165	0	Ndufa4
1.58998196614063e-168	0.440655522843175	0.905	0.868	2.98582713421549e-164	0	Hspe1
8.99323406455455e-167	0.582680875944958	0.791	0.75	1.6888394249827e-162	0	Ndufa1
2.95940751180106e-165	0.36655040388132	0.963	0.942	5.55747136641121e-161	0	Rpl24
5.06776465029936e-165	0.524505654426095	0.84	0.801	9.51675523679717e-161	0	Ndufa3
8.44188152257228e-165	0.421916419919071	0.912	0.889	1.58530093112385e-160	0	Usmg5
1.69066827072839e-164	0.355669117579643	0.958	0.939	3.17490594560084e-160	0	Rps16
2.29050189117713e-159	0.411985554455848	0.871	0.818	4.30133350144153e-155	0	mt-Nd4l
6.97660257320315e-156	0.35399947961429	0.964	0.946	1.31013619722182e-151	0	Rps11
5.2133000297159e-155	0.339797346563524	0.964	0.951	9.79005612580348e-151	0	Rps27
5.91297343849547e-155	0.446115393822929	0.909	0.874	1.11039728201506e-150	0	Oaz1
4.11658542017462e-153	0.332924925306188	0.955	0.933	7.73053576054592e-149	0	Gpx4
2.80498516274532e-150	0.420332610300736	0.905	0.88	5.26748163711943e-146	0	Rpl34
4.01424342334736e-150	0.301459216808461	0.978	0.96	7.53834772470401e-146	0	Chchd2
4.24180247974318e-148	0.34372681429222	0.967	0.948	7.96568087670971e-144	0	Rps27a
2.21322850949025e-147	0.40159283412538	0.916	0.893	4.15622181797174e-143	0	Rps12
5.57898142520908e-145	0.309717760214475	0.976	0.96	1.04767692184001e-140	0	Fau
7.58969766014653e-143	0.382274991705086	0.929	0.914	1.42526932359892e-138	0	Rpl31
3.24762491750589e-137	0.326830487779217	0.937	0.905	6.0987148325843e-133	0	mt-Nd5
1.14069027937943e-136	0.315083860238828	0.977	0.953	2.14210227564664e-132	0	Spink1
2.96866424663798e-135	0.357945906588602	0.943	0.926	5.57485458876147e-131	0	Rpl19
5.41023505113661e-135	0.442812620563805	0.88	0.862	1.01598804025294e-130	0	Rps21
1.15157273529975e-129	0.468749749423158	0.836	0.806	2.16253843961939e-125	0	Selenop
1.76780524494807e-128	0.452237348468412	0.866	0.84	3.31976146948799e-124	0	Rpl29
7.52623604816626e-128	0.483066308887454	0.819	0.796	1.41335186748514e-123	0	Ndufv3
1.07351699693137e-127	0.345936693593858	0.94	0.926	2.01595756853742e-123	0	Rps20
5.76900278918107e-122	0.27554230662559	0.988	0.973	1.08336103378031e-117	0	Rpl13
1.19891420372874e-121	0.344847145943588	0.936	0.913	2.2514409831822e-117	0	Rps15a
9.47768491962871e-119	0.415832275148315	0.855	0.836	1.77981445105708e-114	0	Rpl27
3.38116470539441e-118	0.43570589434075	0.842	0.827	6.34948920026017e-114	0	Dnajc19
6.74582414850943e-115	0.571365317603916	0.74	0.686	1.26679831684859e-110	0	Msrb1
7.99457595076563e-115	0.541634124132973	0.752	0.712	1.50130141779428e-110	0	Nop10
3.91303280409632e-112	0.3043547949775	0.966	0.946	7.34828430281247e-108	0	Rps18
1.83535235074743e-111	0.417103377992876	0.848	0.824	3.4466081794686e-107	0	AI314278
2.32348913053944e-111	0.329494810547084	0.925	0.91	4.36328023824002e-107	0	Atp5j2
9.62950515790628e-111	0.319474468006164	0.963	0.94	1.80832477360322e-106	0	Rplp0
2.07284760418946e-110	0.585583199266286	0.736	0.675	3.89260051590739e-106	0	Defb29
3.62196847826924e-110	0.365057821145941	0.895	0.882	6.8016946053418e-106	0	Rpl36a
8.05511597960993e-105	0.373514674971541	0.84	0.812	1.51267022981095e-100	0	mt-Atp8
7.71239678053759e-104	0.495199846563401	0.75	0.722	1.44831099141715e-99	0	Cops9
1.94511527390825e-103	0.319479302747065	0.929	0.921	3.6527319728723e-99	0	Rps15
2.75894978195438e-102	0.275588145726608	0.942	0.917	5.18103179553213e-98	0	Cyb5a
5.37106832551535e-102	0.476078688321634	0.773	0.761	1.00863292084853e-97	0	Mrps21
3.41884516873059e-101	0.461217928441797	0.801	0.787	6.42024934235918e-97	0	Rpl36al
4.19521699872053e-98	0.303300163666757	0.941	0.926	7.87819800189728e-94	0	Rpl11
2.31354414907788e-96	0.274744006370958	0.93	0.913	4.34460455755336e-92	0	Atp5l
3.01252236197338e-93	0.43565833148977	0.791	0.772	5.65721574354981e-89	0	Ndufs6
3.2932777946506e-93	0.445781805510823	0.759	0.739	6.18444637057436e-89	0	Elob
3.66665538782648e-93	0.300515467972629	0.903	0.881	6.88561215279935e-89	0	Atp5j
3.2418780236686e-92	0.304777234759004	0.928	0.907	6.08792274064727e-88	0	Rps5
4.67392157197095e-91	0.440787204929698	0.769	0.754	8.77715732000424e-87	0	Ost4
1.87481276618739e-89	0.441480693941005	0.765	0.758	3.52071089362329e-85	0	Tmem256
1.98442979622762e-89	0.474107433110991	0.744	0.728	3.72656071433584e-85	0	Zfp706
2.0379549390256e-89	0.252993584504525	0.971	0.957	3.82707557999618e-85	0	Rpl26
3.78082422940348e-88	0.407912049830346	0.822	0.81	7.1000098203968e-84	0	Lrp2
1.62456210388925e-87	0.363568583704772	0.747	0.655	3.05076517489362e-83	0	Ly6a
2.17748951870654e-85	0.515346143742853	0.698	0.667	4.08910756717902e-81	0	D8Ertd738e
6.77951982436622e-85	0.420195250421569	0.752	0.737	1.27312602781773e-80	0	Cystm1
4.08078602196451e-84	0.368960953093408	0.824	0.82	7.66330807064716e-80	0	Atox1
7.07131511533098e-84	0.47427607623903	0.735	0.711	1.32792226550801e-79	0	Romo1
1.14849627241773e-82	0.502473478101839	0.705	0.683	2.15676114997325e-78	0	Tomm7
2.95434178643061e-82	0.274947466893647	0.952	0.939	5.54795844073804e-78	0	Rps8
1.06623732325146e-80	0.395246209033534	0.777	0.78	2.00228706933392e-76	0	Smdt1
1.66813255390061e-80	0.353925616155615	0.844	0.84	3.13258612296995e-76	0	Rpl30
2.77213111112195e-80	0.452238847307471	0.733	0.725	5.2057850135759e-76	0	Sem1
3.69889651135356e-80	0.291184408987505	0.917	0.897	6.94615775867084e-76	0	Ybx1
1.90041538311403e-78	0.483461874364314	0.714	0.697	3.56879004794984e-74	0	Bola3
5.26865549981793e-78	0.310840064127168	0.899	0.89	9.8940081631081e-74	0	Rps10
3.00844013907636e-77	0.357362916029103	0.827	0.822	5.6495497371715e-73	0	Rpl22
1.03999355873157e-75	0.382719145683331	0.785	0.781	1.95300390394202e-71	0	H2afj
7.09623438366912e-75	0.379761460497523	0.81	0.804	1.33260185490922e-70	0	Ndufc1
1.77190407247043e-72	0.284024631002637	0.883	0.885	3.32745865769222e-68	0	Uqcrh
3.10764913847546e-72	0.317668490441441	0.872	0.863	5.83585431714307e-68	0	Rps26
3.49744316945503e-72	0.476089886628921	0.685	0.667	6.56784852791961e-68	0	Anapc13
1.32195335104761e-71	0.302912264871486	0.866	0.859	2.48249619793232e-67	0	Hint1
2.97528740526379e-71	0.496654116075693	0.688	0.665	5.58729221834488e-67	0	Nedd8
7.78050213049629e-71	0.27727375992063	0.879	0.87	1.4611004950859e-66	0	Cox5b
2.13826059224315e-69	0.330696181972282	0.811	0.805	4.0154395661734e-65	0	Ndufb9
2.21160942261279e-68	0.363747266714121	0.766	0.721	4.15318133472456e-64	0	Cyp4b1
1.11690772575174e-67	0.260792477987376	0.915	0.902	2.0974410181892e-63	0	Rps14
1.28639421993768e-67	0.331179348248951	0.811	0.816	2.41571970562098e-63	0	Rpl35
1.72365598698196e-66	0.32621331430483	0.82	0.802	3.23685357795342e-62	0	Mpc1
2.27981399248339e-66	0.376918242877812	0.748	0.74	4.28126269648456e-62	0	4833439L19Rik
9.59984209706882e-66	0.33232740811099	0.819	0.813	1.80275434740855e-61	0	Rpl18
5.74347490924706e-64	0.276387280460284	0.905	0.894	1.07856715320751e-59	0	Rps9
1.14787124294545e-63	0.480835934823574	0.677	0.661	2.15558740712726e-59	0	Higd2a
2.77986831372684e-63	0.26002038987655	0.889	0.889	5.22031470634763e-59	0	Ndufa13
2.02554461486103e-62	0.295499678665896	0.871	0.861	3.80377023224753e-58	0	Rpl15
6.19037587712894e-61	0.46283794531135	0.679	0.667	1.16249068596604e-56	0	Snhg18
1.45098981695523e-59	0.474408150687305	0.674	0.656	2.72481377726022e-55	0	Odc1
6.32982034319255e-59	0.363103854682343	0.764	0.762	1.18867696224813e-54	0	Minos1
7.24195089353951e-59	0.421893043114628	0.707	0.703	1.35996595829779e-54	0	Tma7
4.91628878510883e-57	0.533097447374766	0.61	0.579	9.23229870955587e-53	0	Mien1
7.1122164412569e-57	0.380456124557309	0.728	0.709	1.33560312550363e-52	0	Cda
2.17210337481558e-56	0.251249881920563	0.921	0.912	4.07899292756618e-52	0	Rpl6
2.68627579660761e-56	0.314062421492998	0.818	0.819	5.04455731844943e-52	0	Atp5k
1.85493955767132e-54	0.424333529422894	0.629	0.566	3.48339099535097e-50	0	Ly6e
2.33950453321527e-53	0.333060942775595	0.821	0.812	4.39335556292495e-49	0	Rpl4
1.18551469862903e-52	0.587871967754879	0.561	0.528	2.22627805255546e-48	0	Mrpl33
2.35742425443739e-52	0.335734275516248	0.755	0.751	4.42700700740797e-48	0	Atp5g2
7.99892090179673e-52	0.26961960356229	0.83	0.817	1.50211735614841e-47	0	Mpc2
2.45376190824989e-51	0.404731723627032	0.681	0.673	4.60791948750247e-47	0	Ubl5
5.34933744920199e-50	0.536324809493068	0.584	0.556	1.00455207958564e-45	0	Cenpx
4.59105045195046e-49	0.319376973010355	0.753	0.737	8.62153364371777e-45	0	Ndufb4
7.64870563664599e-49	0.423597101337776	0.662	0.661	1.43635043150575e-44	0	Bri3
7.67640208205266e-47	0.381257547540072	0.681	0.675	1.44155154698867e-42	0	Ndufb7
1.13660347947948e-46	0.285722843372425	0.786	0.789	2.13442767411452e-42	0	Cisd1
4.0433666984813e-46	0.501511211941046	0.601	0.588	7.59303832307804e-42	0	Scand1
1.54981141502875e-45	0.326710050003582	0.764	0.772	2.91039085628249e-41	0	Rpl12
5.47843004320575e-45	0.483627124192361	0.616	0.606	1.02879437781361e-40	0	Mrps36
3.03414762212063e-44	0.427771468237815	0.653	0.654	5.69782581958034e-40	0	Cox14
8.12900176950639e-43	0.311305083769314	0.747	0.753	1.5265452422956e-38	0	Gabarap
1.53215729696553e-42	0.3681804169046	0.693	0.695	2.87723818797158e-38	0	Vamp8
5.58764000962242e-42	0.251770584400675	0.841	0.855	1.04930291740699e-37	0	Ptma
1.39829025031363e-41	0.575486468021253	0.525	0.496	2.62584926106397e-37	0	Smim4
2.64798158191476e-41	0.497162461970858	0.598	0.585	4.97264461267773e-37	0	Sec61b
3.29661444151651e-41	0.279350296771821	0.748	0.738	6.19071225972385e-37	0	Slc22a12
1.00395550700602e-40	0.340382909726478	0.71	0.72	1.8853280466066e-36	0	Timm13
6.92024298961363e-40	0.59434571263312	0.494	0.455	1.29955243101954e-35	0	Mrpl57
6.70497225390422e-39	0.274197033382094	0.811	0.826	1.25912673956067e-34	0	Rpsa
3.58911451445438e-37	0.258764941131373	0.858	0.861	6.73999814669388e-33	0	Rps7
4.99301140466472e-37	0.346851695995084	0.694	0.694	9.37637611681987e-33	0	Iscu
2.15130202942872e-33	0.360211119781951	0.663	0.678	4.03993008106419e-29	0	Sec61g
2.42100282556738e-32	0.299041211262637	0.703	0.709	4.54640120613299e-28	0	Hint2
1.51278079440895e-31	0.501159845297119	0.547	0.535	2.84085105382057e-27	0	Mrpl20
1.10488200732088e-29	0.258372057781365	0.737	0.756	2.07485792154788e-25	0	Atp6v1g1
2.31147618847468e-29	0.386636881787842	0.616	0.619	4.3407211343366e-25	0	Eef1b2
2.48306708892303e-28	0.505893024024403	0.512	0.495	4.66295168628856e-24	0	Map1lc3a
4.0286072268712e-28	0.366652196091279	0.598	0.588	7.56532151134143e-24	0	Slc13a3
1.26948283485064e-27	0.313081018918859	0.689	0.702	2.38396181556602e-23	0	Hist1h2bc
2.6658567750579e-27	0.345741084476525	0.633	0.644	5.00621243788123e-23	0	Cox17
3.6920276548177e-27	0.261663298489974	0.762	0.788	6.93325873298216e-23	0	Rpl7a
2.86113499330912e-26	0.618308793962544	0.361	0.315	5.37292540393519e-22	0	Cd36
1.49319169784011e-25	0.423678931325179	0.564	0.57	2.80406468937394e-21	0	Smim1
2.99474399121859e-25	0.296371001901919	0.598	0.586	5.62382974110939e-21	0	Mep1a
1.11360748228452e-24	0.586007209914848	0.419	0.385	2.0912434909821e-20	0	Gchfr
1.39332543548274e-24	0.367390788494736	0.526	0.5	2.61652583529305e-20	0	Cyp2e1
3.03595975490759e-24	0.307204703857042	0.646	0.66	5.70122882374096e-20	0	Pfn1
5.93770097319503e-24	0.412923417491771	0.556	0.557	1.11504086575629e-19	0	Lamtor2
1.49639464335309e-23	0.547669274957758	0.46	0.435	2.81007950075277e-19	0	Cisd3
1.55343237540063e-23	0.501012496460648	0.502	0.491	2.91719065776484e-19	0	Mrpl34
1.951203125084e-23	0.398829605851127	0.57	0.567	3.66416434859524e-19	0	S100a1
2.76657653350037e-23	0.386088411707043	0.571	0.586	5.19535407226034e-19	0	Aldh6a1
6.17152401741089e-23	0.384637010210631	0.607	0.629	1.15895049522959e-18	0	Uba52
1.32664239057305e-22	0.612630927216291	0.402	0.369	2.49130174525713e-18	0	Fitm1
2.12867183462418e-22	0.326832672970422	0.655	0.675	3.99743283824075e-18	0	Rack1
3.62578408994698e-22	0.500810866999781	0.476	0.462	6.80885994251144e-18	0	Ppdpf
1.7881555196402e-21	0.32180163041904	0.593	0.588	3.35797725033233e-17	0	Ddt
2.27644123440764e-19	0.56012643202125	0.297	0.253	4.27492899409412e-15	0	Slco1a1
2.74942236170489e-19	0.484536322798871	0.467	0.454	5.16314025304561e-15	0	Fmc1
3.95955231450323e-19	0.423046840939738	0.518	0.517	7.43564329140562e-15	0	Emc6
7.54902688499916e-19	0.2800718977708	0.666	0.702	1.41763175873399e-14	0	Ptms
2.5697175301454e-18	0.415007473724548	0.525	0.533	4.82567254986005e-14	0	Lamtor4
2.91363541629079e-18	0.359409517791364	0.535	0.541	5.47151594825248e-14	0	Sod1
3.85309150107024e-18	0.312014673647919	0.599	0.606	7.2357205298598e-14	0	Ndufb2
5.18910454615827e-18	0.32319294621682	0.622	0.655	9.74461942723062e-14	0	Timm8b
1.91321671807282e-17	0.322282044286574	0.579	0.591	3.59282967486895e-13	0	Dynll1
4.21085221210107e-17	0.292097111258868	0.639	0.669	7.9075593691046e-13	0	Rpl22l1
4.479982795625e-17	0.551276929686998	0.382	0.357	8.41295969190418e-13	0	Lsm4
4.51477058236038e-17	0.322556732115033	0.477	0.455	8.47828767661455e-13	0	Slc5a8
1.99724436114558e-16	0.500917331981418	0.431	0.419	3.75062518579528e-12	0	Naa38
2.22220803690104e-16	0.317423468590281	0.537	0.531	4.17308447249646e-12	0	Slc22a6
1.12683495374098e-15	0.517110986377745	0.398	0.378	2.11608335963018e-11	0	Nhp2
2.54119614331688e-15	0.265069449264714	0.58	0.583	4.77211223753477e-11	0	Nudt19
3.61128858516755e-15	0.928115347124317	0.134	0.1	6.78163883408614e-11	0	Gm44785
6.26979300254463e-15	0.301463561218884	0.614	0.642	1.17740442794786e-10	0	Rpl13a
8.93194394241141e-15	0.472340898852458	0.423	0.409	1.67732975294544e-10	0	2310039H08Rik
1.5821798214694e-14	0.274959252816775	0.633	0.657	2.97117548673739e-10	0	Rpl5
2.59565571316008e-14	0.309876251398508	0.597	0.619	4.87438186374331e-10	0	Edf1
5.82177403612852e-14	0.339793466730292	0.571	0.604	1.09327094624457e-09	0	Mrpl42
7.01009784699184e-14	0.261569301701259	0.606	0.627	1.3164262746866e-09	0	Atp6v1f
1.8436366295224e-13	0.287902394409489	0.557	0.561	3.46216522658012e-09	0	Ndufs5
