cluster	n_cells	top_label	top_score	second_label	second_score	profibrotic_score
0	5691	Immune	0.0141928533257436	Transient_mix	-0.00151906810588388	-0.0228142532170598
1	5043	S2	0.620321664032428	S3	0.413452026626916	-0.0550939790407545
2	1801	Precursor	0.484688816490656	Profibrotic_PT	0.0509047351368255	0.0509047351368255
3	1740	S2	0.159924924560192	S3	0.0873766126511539	-0.0102339271180437
4	1464	S2	0.222692360850515	S3	0.160165477787044	0.145571486786932
5	1394	S1	0.233685969116232	Proliferating	0.0171331302676888	-0.0589944776994103
6	1372	Transient_mix	0.0250869386161502	Immune	0.00740909914500841	-0.0486661585205982
7	1244	S3	0.101603860782145	Proliferating	-0.00806736941678316	-0.0681125367638479
8	1211	Immune	0.0125974798153059	Transient_mix	0.00159802577018052	-0.0097803719707614
9	1132	Precursor	0.0166922458588769	Proliferating	-0.00590457155893832	-0.0625579497825334
10	328	Profibrotic_PT	0.374416077235896	S1	0.00368199225536966	0.374416077235896
11	178	Immune	1.2128113980113	Transient_mix	0.00820002928896773	-0.0238598110723733
12	112	Transient_mix	1.39456315394175	Proliferating	0.0171825120768532	-0.00469681142471858
