p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
3.73678712775312e-07	1.07743195385452	0.042	0.029	0.00701731254720759	0	Smcp
0.00124096384437037	0.94284998618669	0.025	0.018	1	0	BC023719
2.56873832480903e-09	0.933318656719008	0.073	0.052	4.82383370015888e-05	0	Gm48281
3.61128858516755e-15	0.928115347124317	0.134	0.1	6.78163883408614e-11	0	Gm44785
6.23911198332978e-06	0.813961814090749	0.068	0.053	0.11716428393495	0	Gm11361
3.27680259489116e-07	0.765046759460095	0.076	0.058	0.00615350759294612	0	Gm10260
0.000426562599794974	0.697989448726865	0.119	0.105	1	0	D130020L05Rik
0	0.675551107443033	0.993	0.959	0	0	Gpx1
0.00351599164519203	0.630588909137213	0.052	0.043	1	0	Gm17634
2.86113499330912e-26	0.618308793962544	0.361	0.315	5.37292540393519e-22	0	Cd36
1.38567600145657e-33	3.13771025328503	0.017	0.002	2.60216096313529e-29	1	Vmn1r19
9.01158873828725e-16	2.58316236158966	0.01	0.002	1.69228624916296e-11	1	Ifitm7
1.09362267165798e-21	2.57655594640736	0.013	0.002	2.05371401510653e-17	1	Gm47320
2.83826225066491e-64	2.47193649821209	0.048	0.011	5.32997268052363e-60	1	4930533I22Rik
8.40269257444362e-43	2.39225401662764	0.031	0.007	1.57794163855477e-38	1	Gm31774
7.24991787454723e-75	2.37091019132819	0.058	0.014	1.36146207766122e-70	1	AY074887
1.32992425131291e-88	2.32086550594195	0.072	0.018	2.49746475154051e-84	1	Gm15354
5.21817842105926e-27	2.26157991841252	0.021	0.005	9.79921725690719e-23	1	Ifnk
1.37976734069728e-19	2.26051038737037	0.014	0.003	2.59106508909543e-15	1	Gm13483
3.42325027438201e-15	2.2525597447729	0.012	0.003	6.42852169026197e-11	1	Gm15234
2.4613981395847e-201	2.17996531493018	0.434	0.173	4.62225956632611e-197	2	Apom
3.06428357854437e-46	2.06114072329898	0.078	0.022	5.75441813214847e-42	2	Prdx4
0	2.00836226354082	0.999	0.958	0	2	Kap
1.96153629182472e-122	1.96496538989243	0.408	0.201	3.68356900241764e-118	2	Apoe
4.48668418794801e-17	1.93339139840522	0.033	0.01	8.42554423654757e-13	2	Hspb1
0.000823616124537615	1.8802435673679	0.011	0.005	1	2	Gm12166
6.88476182377172e-39	1.80796222963137	0.177	0.088	1.29288942288609e-34	2	H2-Ab1
2.05371123726637e-99	1.76207605146103	0.285	0.119	3.85666433246252e-95	2	Rnaset2a
0	1.74842635756837	0.8	0.483	0	2	Tmbim4
3.1912611337964e-07	1.70274895964743	0.016	0.006	0.00599286928315625	2	H2-DMb2
0	2.68796421442442	0.536	0.084	0	3	Slc5a12
1.35703558620995e-07	2.58285807501316	0.01	0.003	0.00254837712734367	3	Pole2
2.4766205337586e-46	2.41752061818211	0.039	0.006	4.65084570034528e-42	3	Eml4
1.8999791734386e-161	2.41751453430488	0.195	0.043	3.56797088980034e-157	3	Slc16a14
4.73446902792195e-24	2.36529220565721	0.022	0.004	8.89085938753464e-20	3	Gm15651
7.35384507365248e-11	2.25818218706721	0.01	0.002	1.3809785663812e-06	3	Gm15990
4.11662592659489e-56	2.22947991085123	0.076	0.018	7.73061182755255e-52	3	Cyp2d12
1.73303387809629e-08	2.20616669454021	0.013	0.004	0.000325446431967703	3	Plch1
2.50071559194356e-57	2.18840363326913	0.062	0.012	4.69609381011082e-53	3	Pcdh7
1.70677036420386e-46	2.17216281550293	0.063	0.015	3.20514406693843e-42	3	Edaradd
9.82231088435454e-125	3.6989474097098	0.068	0.006	1.84453176097294e-120	4	Fosb
0	3.46508969793205	0.458	0.073	0	4	Cxcl1
1.30102378811868e-64	3.24948278158911	0.051	0.007	2.44319257170806e-60	4	Sox9
3.0203644177166e-90	3.21617774022422	0.098	0.017	5.67194234003e-86	4	Hspa1a
2.00493935691569e-82	3.04855697672498	0.077	0.012	3.76507561835197e-78	4	Fos
0	2.99497127931359	0.462	0.09	0	4	Jun
3.33194822077157e-17	2.92799288805764	0.012	0.001	6.25706556378692e-13	4	Samd4
3.56672352101112e-49	2.8068877752682	0.04	0.005	6.69795010010679e-45	4	Atf3
1.30877419675462e-45	2.77592046255244	0.036	0.005	2.4577470640855e-41	4	Dusp8
6.27969645660529e-70	2.58495792186222	0.059	0.008	1.17926419758591e-65	4	Egr1
0	7.68862348277444	0.582	0.014	0	5	Xist
0	6.42219970370433	0.108	0.002	0	5	Tsix
1.26066597870017e-34	6.31953039342125	0.01	0	2.36740464140104e-30	5	Ccdc39
0	5.62699157681312	0.352	0.01	0	5	Slc22a29
1.59915403142249e-67	5.59099546390586	0.02	0	3.00305135560829e-63	5	Gm42047
2.66885741197995e-54	5.42010969472929	0.015	0	5.01184733395714e-50	5	Atp13a4
1.55740181200538e-26	5.1937238494039	0.01	0	2.9246448627649e-22	5	Slitrk1
3.96314284340441e-152	5.03248672711992	0.052	0.002	7.44238594562914e-148	5	Ugt1a2
2.41596680706445e-37	4.89658810904001	0.016	0.001	4.53694406698633e-33	5	Exph5
