cell_type	cluster	score	n_markers_used
DCT	g0	4.40573836368012	1
CD4_T	g1	3.30485044247973	2
Cd8_eff	g10	4.09345146320577	2
A_IC	g11	3.60478202053887	2
Tra_IC	g12	3.02478726223551	1
GEC	g13	-0.144866997045464	1
TH17	g14	4.00817431299537	2
B_IC	g15	3.58813747795777	2
CNT	g16	0.0699540357414991	2
B_Cell	g17	4.99447110245296	2
CD4_T	g18	1.00311791162398	2
Macro	g19	3.32460710265826	3
DCT	g2	1.36969317618761	1
ALOH	g20	3.53226463898774	1
Treg	g21	0.231070182130746	1
Treg	g22	2.71005751695303	1
DC	g23	4.38094925715083	2
Podo	g24	5.00307055504165	1
Baso	g25	5.00370187847974	2
pDC	g26	5.00330887437753	1
ALOH	g3	3.40507359441139	1
CNT	g4	2.46232435281675	2
Treg	g5	2.04147151314268	1
GEC	g6	5.00309037501406	1
Neutro	g7	4.92720833330885	1
CD_PC	g8	4.24670135036712	2
CD8_T	g9	2.35178888358196	2
