cell_type	cluster	score	n_markers_used
GEC	g0	0.00771049836598243	1
GEC	g1	0.0124091463780244	1
GEC	g2	0.0204551586700409	1
GEC	g3	0.0389403784756825	1
GEC	g4	0.0205330137328808	1
GEC	g5	0.0159183483393288	1
GEC	g6	24.3752484887113	1
GEC	g7	0.0166514953157969	1
GEC	g8	0.0235482185584349	1
GEC	g9	0.0120405770286884	1
GEC	g10	0.0323959831412745	1
GEC	g11	0.0641512535540998	1
GEC	g12	0.0556940673937614	1
GEC	g13	0.266258698299479	1
GEC	g14	0	1
GEC	g15	0.0359649682712768	1
GEC	g16	0.0162253374870197	1
GEC	g17	0	1
GEC	g18	0.063036158654754	1
GEC	g19	0.0603632911171337	1
GEC	g20	0.0142590295304502	1
GEC	g21	0	1
GEC	g22	0.0229857316071049	1
GEC	g23	0	1
GEC	g24	0.30873873788714	1
GEC	g25	0	1
GEC	g26	0.0234241409196318	1
Endo	g0	0.0072870397954881	1
Endo	g1	0.00442447367927209	1
Endo	g2	0.0234674728167211	1
Endo	g3	0.0102341892959231	1
Endo	g4	0	1
Endo	g5	0.00217553050311318	1
Endo	g6	1.57219365650283	1
Endo	g7	0.0104567274197908	1
Endo	g8	0	1
Endo	g9	0.00613382851039593	1
Endo	g10	0.023249040829254	1
Endo	g11	0.0339964842078128	1
Endo	g12	0.00418644141351153	1
Endo	g13	0.00264573152227719	1
Endo	g14	0.00296549967335021	1
Endo	g15	0	1
Endo	g16	0.00750144027653309	1
Endo	g17	0.00470435039507135	1
Endo	g18	0.0121962077111743	1
Endo	g19	0.0109679188374006	1
Endo	g20	0	1
Endo	g21	0.0177773353196543	1
Endo	g22	0	1
Endo	g23	0.00874695496630236	1
Endo	g24	0.0268230989799175	1
Endo	g25	0	1
Endo	g26	0	1
Podo	g0	0.00170097032270571	1
Podo	g1	0.0021043624907487	1
Podo	g2	0.00256032218191393	1
Podo	g3	0	1
Podo	g4	0.00517175492358293	1
Podo	g5	0.00894835696084589	1
Podo	g6	0.00810740876586167	1
Podo	g7	0.00142236544494009	1
Podo	g8	0.0110699610468198	1
Podo	g9	0.0118250924452634	1
Podo	g10	0.00204565911136568	1
Podo	g11	0.00363688734814177	1
Podo	g12	0.006399361087789	1
Podo	g13	0	1
Podo	g14	0.0215330732378348	1
Podo	g15	0	1
Podo	g16	0.34660852694842	1
Podo	g17	0	1
Podo	g18	0	1
Podo	g19	0	1
Podo	g20	0.0223084816847365	1
Podo	g21	0	1
Podo	g22	0	1
Podo	g23	0	1
Podo	g24	21.6322114475902	1
Podo	g25	0	1
Podo	g26	0	1
ALOH	g0	0.225727961917909	1
ALOH	g1	0.0804631487976624	1
ALOH	g2	0.347086477193078	1
ALOH	g3	41.7847592057015	1
ALOH	g4	0.222248509063202	1
ALOH	g5	0.107219793212252	1
ALOH	g6	0.492451610595145	1
ALOH	g7	0.122523201948773	1
ALOH	g8	0.561343745246244	1
ALOH	g9	0.102052494468719	1
ALOH	g10	0.079850414748884	1
ALOH	g11	0.127787586360307	1
ALOH	g12	0.272791456829931	1
ALOH	g13	0.117749716887888	1
ALOH	g14	0.0938195168239165	1
ALOH	g15	0.289146740560537	1
ALOH	g16	0.185059415243822	1
ALOH	g17	0.297050186423858	1
ALOH	g18	0.340042129437911	1
ALOH	g19	0.174970397630861	1
ALOH	g20	43.2211440989344	1
ALOH	g21	0.224394754974009	1
ALOH	g22	0.0470990911036883	1
ALOH	g23	0.237921714789357	1
ALOH	g24	0.0889213472485729	1
ALOH	g25	0.0886053517632465	1
ALOH	g26	0	1
DCT	g0	100.105910938977	1
DCT	g1	0.399410054818276	1
DCT	g2	36.5164839187255	1
DCT	g3	1.12083515390358	1
DCT	g4	39.9230355677241	1
DCT	g5	0.275361426920939	1
DCT	g6	2.29040197616061	1
DCT	g7	0.771299630471658	1
DCT	g8	2.90761042484418	1
DCT	g9	0.171106198812566	1
DCT	g10	0.815686289935053	1
DCT	g11	2.19867678594412	1
DCT	g12	1.22199502088323	1
DCT	g13	3.25071400549356	1
DCT	g14	0.18358482767294	1
DCT	g15	2.58916283577926	1
DCT	g16	7.79632191721589	1
DCT	g17	0.592705734041486	1
DCT	g18	0.571839300181276	1
DCT	g19	1.03957958145477	1
DCT	g20	1.13760319305073	1
DCT	g21	2.16702569471333	1
DCT	g22	0.152252733967231	1
DCT	g23	1.4799275230858	1
DCT	g24	0.921919550748528	1
DCT	g25	0.5126632888644	1
DCT	g26	0.256486455656365	1
