cell_type	cluster	score	n_markers_used
GEC	g0	-0.200074416495685	1
GEC	g1	-0.199071121049356	1
GEC	g2	-0.197353067798081	1
GEC	g3	-0.193405945815789	1
GEC	g4	-0.197336443520242	1
GEC	g5	-0.198321806280725	1
GEC	g6	5.00309037501406	1
GEC	g7	-0.198165258477805	1
GEC	g8	-0.196692611238387	1
GEC	g9	-0.199149821124122	1
GEC	g10	-0.194803360991635	1
GEC	g11	-0.188022704487792	1
GEC	g12	-0.189828555094536	1
GEC	g13	-0.144866997045464	1
GEC	g14	-0.201720827948445	1
GEC	g15	-0.194041280810322	1
GEC	g16	-0.198256255336461	1
GEC	g17	-0.201720827948445	1
GEC	g18	-0.188260809072743	1
GEC	g19	-0.188831542573584	1
GEC	g20	-0.198676118202088	1
GEC	g21	-0.201720827948445	1
GEC	g22	-0.196812718255436	1
GEC	g23	-0.201720827948445	1
GEC	g24	-0.135796296246227	1
GEC	g25	-0.201720827948445	1
GEC	g26	-0.196719105355351	1
Endo	g0	-0.19625314002663	1
Endo	g1	-0.205760738884321	1
Endo	g2	-0.142512174660569	1
Endo	g3	-0.186464609705863	1
Endo	g4	-0.220455987549718	1
Endo	g5	-0.213230277998732	1
Endo	g6	5.0013575901206	1
Endo	g7	-0.185725481550781	1
Endo	g8	-0.220455987549718	1
Endo	g9	-0.200083364325978	1
Endo	g10	-0.143237664878161	1
Endo	g11	-0.107541587917619	1
Endo	g12	-0.20655132858816	1
Endo	g13	-0.211668573398316	1
Endo	g14	-0.210606509786703	1
Endo	g15	-0.220455987549718	1
Endo	g16	-0.19554103987386	1
Endo	g17	-0.204831168898722	1
Endo	g18	-0.179948049638328	1
Endo	g19	-0.184027633277305	1
Endo	g20	-0.220455987549718	1
Endo	g21	-0.161411142429646	1
Endo	g22	-0.220455987549718	1
Endo	g23	-0.191404243181338	1
Endo	g24	-0.131366948251539	1
Endo	g25	-0.220455987549718	1
Endo	g26	-0.220455987549718	1
Podo	g0	-0.196227474723275	1
Podo	g1	-0.1961305118658	1
Podo	g2	-0.196020913420289	1
Podo	g3	-0.196636334775692	1
Podo	g4	-0.195393206685263	1
Podo	g5	-0.194485429702737	1
Podo	g6	-0.194687567340585	1
Podo	g7	-0.196294442620014	1
Podo	g8	-0.193975462452739	1
Podo	g9	-0.193793952488087	1
Podo	g10	-0.196144622321727	1
Podo	g11	-0.195762140833596	1
Podo	g12	-0.195098128567824	1
Podo	g13	-0.196636334775692	1
Podo	g14	-0.19146045761006	1
Podo	g15	-0.196636334775692	1
Podo	g16	-0.113322488199737	1
Podo	g17	-0.196636334775692	1
Podo	g18	-0.196636334775692	1
Podo	g19	-0.196636334775692	1
Podo	g20	-0.191274073677305	1
Podo	g21	-0.196636334775692	1
Podo	g22	-0.196636334775692	1
Podo	g23	-0.196636334775692	1
Podo	g24	5.00307055504165	1
Podo	g25	-0.196636334775692	1
Podo	g26	-0.196636334775692	1
ALOH	g0	-0.274954384427227	1
ALOH	g1	-0.287817498908588	1
ALOH	g2	-0.264208158677565	1
ALOH	g3	3.40507359441139	1
ALOH	g4	-0.275262487948246	1
ALOH	g5	-0.285448213650519	1
ALOH	g6	-0.251336160893757	1
ALOH	g7	-0.284093105732059	1
ALOH	g8	-0.245235802549242	1
ALOH	g9	-0.285905774940619	1
ALOH	g10	-0.287871756151253	1
ALOH	g11	-0.283626947562679	1
ALOH	g12	-0.270786939400844	1
ALOH	g13	-0.284515795050238	1
ALOH	g14	-0.286634800309481	1
ALOH	g15	-0.269338688565126	1
ALOH	g16	-0.278555560516762	1
ALOH	g17	-0.268638843043327	1
ALOH	g18	-0.264831931562925	1
ALOH	g19	-0.279448937142335	1
ALOH	g20	3.53226463898774	1
ALOH	g21	-0.275072439124564	1
ALOH	g22	-0.290771866759012	1
ALOH	g23	-0.273874634722024	1
ALOH	g24	-0.287068530368698	1
ALOH	g25	-0.28709651158463	1
ALOH	g26	-0.294942463807407	1
DCT	g0	4.40573836368012	1
DCT	g1	-0.354698337135907	1
DCT	g2	1.36969317618761	1
DCT	g3	-0.320254258885026	1
DCT	g4	1.53233727009638	1
DCT	g5	-0.360620976439181	1
DCT	g6	-0.264413879618305	1
DCT	g7	-0.336942656524388	1
DCT	g8	-0.234945572886925	1
DCT	g9	-0.365598589831869	1
DCT	g10	-0.334823437808834	1
DCT	g11	-0.268793252658416	1
DCT	g12	-0.315424431951484	1
DCT	g13	-0.218564265118414	1
DCT	g14	-0.365002803977626	1
DCT	g15	-0.250149692746996	1
DCT	g16	-0.00153650325137725	1
DCT	g17	-0.345469532220244	1
DCT	g18	-0.346465789602485	1
DCT	g19	-0.324133765294348	1
DCT	g20	-0.319453677295572	1
DCT	g21	-0.270304418078722	1
DCT	g22	-0.366498739021655	1
DCT	g23	-0.303109574455431	1
DCT	g24	-0.329751384240217	1
DCT	g25	-0.349291118478564	1
DCT	g26	-0.361522152442129	1
CNT	g0	2.0630960663153	2
CNT	g1	-0.353548761840838	2
CNT	g2	0.571622251447826	2
CNT	g3	-0.304975531669936	2
CNT	g4	2.46232435281675	2
CNT	g5	-0.352233577447163	2
CNT	g6	-0.272069224507325	2
CNT	g7	-0.340478012067427	2
CNT	g8	1.63418286476932	2
CNT	g9	-0.349751273968024	2
CNT	g10	-0.334789917858291	2
CNT	g11	-0.193549554099633	2
CNT	g12	-0.23805581283645	2
CNT	g13	-0.25118249495923	2
CNT	g14	-0.352216707133651	2
CNT	g15	-0.176920844216145	2
CNT	g16	0.0699540357414991	2
CNT	g17	-0.348934359383006	2
CNT	g18	-0.349432488074127	2
CNT	g19	-0.259242427776499	2
CNT	g20	-0.33592643192067	2
CNT	g21	-0.281648564994141	2
CNT	g22	-0.359448962783711	2
CNT	g23	-0.313351079154068	2
CNT	g24	-0.325617722394239	2
CNT	g25	-0.350845152512166	2
CNT	g26	-0.356960669493948	2
CD_PC	g0	-0.245499556497237	2
CD_PC	g1	-0.286224182158096	2
CD_PC	g2	-0.205084029731153	2
CD_PC	g3	-0.248684625391564	2
CD_PC	g4	1.61626727759352	2
CD_PC	g5	-0.281974678481273	2
CD_PC	g6	-0.230514473293789	2
CD_PC	g7	-0.277442979416672	2
CD_PC	g8	4.24670135036712	2
CD_PC	g9	-0.278023829695416	2
CD_PC	g10	-0.276393226237638	2
CD_PC	g11	-0.159668767864905	2
CD_PC	g12	0.00413551118027361	2
CD_PC	g13	-0.246707458036944	2
CD_PC	g14	-0.279381471737732	2
CD_PC	g15	-0.15331060289542	2
CD_PC	g16	-0.0381675535304461	2
CD_PC	g17	-0.281428832650913	2
CD_PC	g18	-0.272443351178946	2
CD_PC	g19	-0.192843048221475	2
CD_PC	g20	-0.278513317404336	2
CD_PC	g21	-0.254133004549	2
CD_PC	g22	-0.28682358517358	2
CD_PC	g23	-0.259266854301191	2
CD_PC	g24	-0.272067094580001	2
CD_PC	g25	-0.276551836252831	2
CD_PC	g26	-0.28595577986035	2
A_IC	g0	-0.281233305610326	2
A_IC	g1	-0.281930281299289	2
A_IC	g2	-0.254786939249496	2
A_IC	g3	-0.253502255271945	2
A_IC	g4	-0.256028827640502	2
A_IC	g5	-0.282412589807654	2
A_IC	g6	-0.277699332066342	2
A_IC	g7	-0.282219527244758	2
A_IC	g8	-0.261806568143297	2
A_IC	g9	-0.284152079402916	2
A_IC	g10	-0.285034855437712	2
A_IC	g11	3.60478202053887	2
A_IC	g12	1.639427322228	2
A_IC	g13	-0.282590556926978	2
A_IC	g14	-0.287769515094169	2
A_IC	g15	1.42660570252651	2
A_IC	g16	-0.280925823664322	2
A_IC	g17	-0.286695048435862	2
A_IC	g18	-0.281716869823771	2
A_IC	g19	-0.277145361401991	2
A_IC	g20	-0.28452395724957	2
A_IC	g21	-0.26977688904877	2
A_IC	g22	-0.269733595966283	2
A_IC	g23	-0.28934034417862	2
A_IC	g24	-0.283821395995515	2
A_IC	g25	-0.284421257383693	2
A_IC	g26	-0.291547868949592	2
B_IC	g0	-0.31261335786055	2
B_IC	g1	-0.316269836833179	2
B_IC	g2	-0.277004632717576	2
B_IC	g3	-0.277868157929124	2
B_IC	g4	-0.287023504744456	2
B_IC	g5	-0.312688164811022	2
B_IC	g6	-0.289405300871074	2
B_IC	g7	-0.316379585003722	2
B_IC	g8	-0.294063464003919	2
B_IC	g9	-0.313939299017967	2
B_IC	g10	-0.316771065216755	2
B_IC	g11	0.980198713508589	2
B_IC	g12	2.81445677846855	2
B_IC	g13	-0.306346162578463	2
B_IC	g14	-0.318106330592382	2
B_IC	g15	3.58813747795777	2
B_IC	g16	-0.314661855499778	2
B_IC	g17	-0.309408085429204	2
B_IC	g18	-0.312642322285876	2
B_IC	g19	-0.315806827882402	2
B_IC	g20	-0.315269783257375	2
B_IC	g21	-0.300018779379537	2
B_IC	g22	-0.290029873762723	2
B_IC	g23	-0.319466870501025	2
B_IC	g24	-0.325283900785048	2
B_IC	g25	-0.318157289219149	2
B_IC	g26	-0.323568519752609	2
Tra_IC	g0	-0.350289756128391	1
Tra_IC	g1	-0.351122373990634	1
Tra_IC	g2	-0.298136335328723	1
Tra_IC	g3	-0.295444470186939	1
Tra_IC	g4	-0.312451318785926	1
Tra_IC	g5	-0.35008401809766	1
Tra_IC	g6	-0.34502420376745	1
Tra_IC	g7	-0.356173026508677	1
Tra_IC	g8	-0.320616728237505	1
Tra_IC	g9	-0.354805670921937	1
Tra_IC	g10	-0.354613581912727	1
Tra_IC	g11	2.22614997695888	1
Tra_IC	g12	3.02478726223551	1
Tra_IC	g13	-0.351134005330773	1
Tra_IC	g14	-0.359480800360015	1
Tra_IC	g15	3.00733717862087	1
Tra_IC	g16	-0.345046517425919	1
Tra_IC	g17	-0.360046209235025	1
Tra_IC	g18	-0.346628609744817	1
Tra_IC	g19	-0.350379366446196	1
Tra_IC	g20	-0.356281530485774	1
Tra_IC	g21	-0.327614350700444	1
Tra_IC	g22	-0.32640738490764	1
Tra_IC	g23	-0.361875558454515	1
Tra_IC	g24	-0.366290607996459	1
Tra_IC	g25	-0.352037384864661	1
Tra_IC	g26	-0.366290607996459	1
Neutro	g0	-0.243206944823704	1
Neutro	g1	-0.210807779540184	1
Neutro	g2	-0.240769670960845	1
Neutro	g3	-0.243206944823704	1
Neutro	g4	-0.243206944823704	1
Neutro	g5	-0.243206944823704	1
Neutro	g6	-0.243206944823704	1
Neutro	g7	4.92720833330885	1
Neutro	g8	-0.243206944823704	1
Neutro	g9	-0.243206944823704	1
Neutro	g10	-0.235160767205726	1
Neutro	g11	-0.236463126547795	1
Neutro	g12	-0.243206944823704	1
Neutro	g13	-0.243206944823704	1
Neutro	g14	-0.2388979585126	1
Neutro	g15	-0.243206944823704	1
Neutro	g16	-0.243206944823704	1
Neutro	g17	-0.243206944823704	1
Neutro	g18	-0.243206944823704	1
Neutro	g19	-0.0331211466436559	1
Neutro	g20	-0.243206944823704	1
Neutro	g21	-0.243206944823704	1
Neutro	g22	-0.021865751214289	1
Neutro	g23	0.633354630611127	1
Neutro	g24	-0.243206944823704	1
Neutro	g25	-0.208958701291926	1
Neutro	g26	-0.243206944823704	1
Mono	g0	-0.243206944823704	1
Mono	g1	-0.210807779540184	1
Mono	g2	-0.240769670960845	1
Mono	g3	-0.243206944823704	1
Mono	g4	-0.243206944823704	1
Mono	g5	-0.243206944823704	1
Mono	g6	-0.243206944823704	1
Mono	g7	4.92720833330885	1
Mono	g8	-0.243206944823704	1
Mono	g9	-0.243206944823704	1
Mono	g10	-0.235160767205726	1
Mono	g11	-0.236463126547795	1
Mono	g12	-0.243206944823704	1
Mono	g13	-0.243206944823704	1
Mono	g14	-0.2388979585126	1
Mono	g15	-0.243206944823704	1
Mono	g16	-0.243206944823704	1
Mono	g17	-0.243206944823704	1
Mono	g18	-0.243206944823704	1
Mono	g19	-0.0331211466436559	1
Mono	g20	-0.243206944823704	1
Mono	g21	-0.243206944823704	1
Mono	g22	-0.021865751214289	1
Mono	g23	0.633354630611127	1
Mono	g24	-0.243206944823704	1
Mono	g25	-0.208958701291926	1
Mono	g26	-0.243206944823704	1
DC	g0	-0.292027526649959	2
DC	g1	-0.282780555797285	2
DC	g2	-0.292027526649959	2
DC	g3	-0.291806398676518	2
DC	g4	-0.292027526649959	2
DC	g5	-0.280249604186906	2
DC	g6	-0.292027526649959	2
DC	g7	0.07957309689904	2
DC	g8	-0.292027526649959	2
DC	g9	-0.284955451936267	2
DC	g10	-0.28512760751615	2
DC	g11	-0.291351856505044	2
DC	g12	-0.292027526649959	2
DC	g13	-0.286754196308186	2
DC	g14	-0.292027526649959	2
DC	g15	-0.285030889635055	2
DC	g16	-0.292027526649959	2
DC	g17	-0.2888517535709	2
DC	g18	-0.289421933832478	2
DC	g19	0.142545463083805	2
DC	g20	-0.292027526649959	2
DC	g21	-0.255886807796836	2
DC	g22	-0.292027526649959	2
DC	g23	4.38094925715083	2
DC	g24	-0.292027526649959	2
DC	g25	-0.292027526649959	2
DC	g26	2.02347955842745	2
Macro	g0	-0.21164252389785	3
Macro	g1	-0.200105581979034	3
Macro	g2	-0.208681194461993	3
Macro	g3	-0.210235527352413	3
Macro	g4	-0.211351405208129	3
Macro	g5	-0.211391733147602	3
Macro	g6	-0.207094513325361	3
Macro	g7	1.54100404086747	3
Macro	g8	-0.211841322276447	3
Macro	g9	-0.20975257475262	3
Macro	g10	-0.20784166568807	3
Macro	g11	-0.209399034857242	3
Macro	g12	-0.211397764560179	3
Macro	g13	-0.211772453113963	3
Macro	g14	-0.206620956679824	3
Macro	g15	-0.209272090140837	3
Macro	g16	-0.207921606100662	3
Macro	g17	-0.209247339592959	3
Macro	g18	-0.211841322276447	3
Macro	g19	3.32460710265826	3
Macro	g20	-0.209343123349278	3
Macro	g21	-0.211841322276447	3
Macro	g22	-0.138060924406642	3
Macro	g23	0.0835951189341084	3
Macro	g24	-0.211841322276447	3
Macro	g25	-0.199620548536605	3
Macro	g26	-0.211088412202794	3
pDC	g0	-0.196386856438351	1
pDC	g1	-0.196386856438351	1
pDC	g2	-0.196386856438351	1
pDC	g3	-0.196386856438351	1
pDC	g4	-0.193796777093054	1
pDC	g5	-0.196386856438351	1
pDC	g6	-0.196386856438351	1
pDC	g7	-0.193998058618281	1
pDC	g8	-0.195053824815075	1
pDC	g9	-0.193168701435494	1
pDC	g10	-0.189848863283145	1
pDC	g11	-0.196386856438351	1
pDC	g12	-0.191731237048066	1
pDC	g13	-0.196386856438351	1
pDC	g14	-0.196386856438351	1
pDC	g15	-0.196386856438351	1
pDC	g16	-0.196386856438351	1
pDC	g17	-0.188311122812485	1
pDC	g18	-0.196386856438351	1
pDC	g19	-0.187752209508956	1
pDC	g20	-0.196386856438351	1
pDC	g21	-0.196386856438351	1
pDC	g22	-0.196386856438351	1
pDC	g23	-0.131071520311004	1
pDC	g24	-0.196386856438351	1
pDC	g25	-0.196386856438351	1
pDC	g26	5.00330887437753	1
Baso	g0	-0.192510348989901	2
Baso	g1	-0.192510348989901	2
Baso	g2	-0.192510348989901	2
Baso	g3	-0.192510348989901	2
Baso	g4	-0.192510348989901	2
Baso	g5	-0.190943153732213	2
Baso	g6	-0.192510348989901	2
Baso	g7	-0.192510348989901	2
Baso	g8	-0.192510348989901	2
Baso	g9	-0.192510348989901	2
Baso	g10	-0.192510348989901	2
Baso	g11	-0.192510348989901	2
Baso	g12	-0.192510348989901	2
Baso	g13	-0.192510348989901	2
Baso	g14	-0.192510348989901	2
Baso	g15	-0.192510348989901	2
Baso	g16	-0.192510348989901	2
Baso	g17	-0.192510348989901	2
Baso	g18	-0.192510348989901	2
Baso	g19	-0.192510348989901	2
Baso	g20	-0.192510348989901	2
Baso	g21	-0.192510348989901	2
Baso	g22	-0.192510348989901	2
Baso	g23	-0.192510348989901	2
Baso	g24	-0.192510348989901	2
Baso	g25	5.00370187847974	2
Baso	g26	-0.192510348989901	2
B_Cell	g0	-0.214683178876248	2
B_Cell	g1	-0.20587440989666	2
B_Cell	g2	-0.212336448591408	2
B_Cell	g3	-0.214572590110262	2
B_Cell	g4	-0.214589362759946	2
B_Cell	g5	-0.20855902813151	2
B_Cell	g6	-0.213381471989525	2
B_Cell	g7	-0.187124031758387	2
B_Cell	g8	-0.206279311292388	2
B_Cell	g9	-0.202533604272548	2
B_Cell	g10	-0.212699291484934	2
B_Cell	g11	-0.215140618675561	2
B_Cell	g12	-0.213314977792079	2
B_Cell	g13	-0.210137931557735	2
B_Cell	g14	-0.193545541282676	2
B_Cell	g15	-0.207938624369773	2
B_Cell	g16	-0.212225574269101	2
B_Cell	g17	4.99447110245296	2
B_Cell	g18	-0.198392572487054	2
B_Cell	g19	-0.091624413336506	2
B_Cell	g20	-0.201834553753455	2
B_Cell	g21	-0.209479539381087	2
B_Cell	g22	-0.033391844267044	2
B_Cell	g23	-0.181527478962847	2
B_Cell	g24	-0.215140618675561	2
B_Cell	g25	-0.208842574436161	2
B_Cell	g26	-0.10930151004251	2
CD4_T	g0	-0.519685583460853	2
CD4_T	g1	3.30485044247973	2
CD4_T	g2	-0.518385758492007	2
CD4_T	g3	-0.515871206085522	2
CD4_T	g4	-0.521613506844081	2
CD4_T	g5	0.650164058136017	2
CD4_T	g6	-0.51161038317975	2
CD4_T	g7	-0.479781206616528	2
CD4_T	g8	-0.518725065053113	2
CD4_T	g9	0.200063943534928	2
CD4_T	g10	-0.120662687197686	2
CD4_T	g11	-0.519290645695747	2
CD4_T	g12	-0.522102536435738	2
CD4_T	g13	-0.521388950774777	2
CD4_T	g14	1.89627618703951	2
CD4_T	g15	-0.517922663240495	2
CD4_T	g16	-0.518119248166746	2
CD4_T	g17	-0.38281634552737	2
CD4_T	g18	1.00311791162398	2
CD4_T	g19	-0.472205588649057	2
CD4_T	g20	-0.519037939912023	2
CD4_T	g21	-0.157508566736647	2
CD4_T	g22	1.59968804018289	2
CD4_T	g23	-0.377685968717552	2
CD4_T	g24	-0.501145674463392	2
CD4_T	g25	0.0231324692788006	2
CD4_T	g26	0.0382664729732363	2
Treg	g0	-0.567775937749391	1
Treg	g1	1.03813023869776	1
Treg	g2	-0.57054319874193	1
Treg	g3	-0.56547363278733	1
Treg	g4	-0.568677489721717	1
Treg	g5	2.04147151314268	1
Treg	g6	-0.555432137687956	1
Treg	g7	-0.532511799306495	1
Treg	g8	-0.56847117515614	1
Treg	g9	2.02016500594113	1
Treg	g10	-0.383814423765219	1
Treg	g11	-0.567322186029005	1
Treg	g12	-0.558344124380082	1
Treg	g13	-0.560137599178286	1
Treg	g14	1.66463046599067	1
Treg	g15	-0.568792402214595	1
Treg	g16	-0.564276124853814	1
Treg	g17	-0.464745720445777	1
Treg	g18	0.902500243554367	1
Treg	g19	-0.523867763584861	1
Treg	g20	-0.57054319874193	1
Treg	g21	0.231070182130746	1
Treg	g22	2.71005751695303	1
Treg	g23	-0.454400162632779	1
Treg	g24	-0.57054319874193	1
Treg	g25	-0.420332874272841	1
Treg	g26	-0.472020016418307	1
TH17	g0	-0.282024422421255	2
TH17	g1	-0.250494096718579	2
TH17	g2	-0.325850335887027	2
TH17	g3	0.317844313980562	2
TH17	g4	-0.0583113583863039	2
TH17	g5	-0.395896922150419	2
TH17	g6	-0.409901253555728	2
TH17	g7	-0.44892865544767	2
TH17	g8	0.937296986282932	2
TH17	g9	-0.456664316141093	2
TH17	g10	-0.42407512149348	2
TH17	g11	0.0272752600528778	2
TH17	g12	-0.0363786800591376	2
TH17	g13	-0.4389393765509	2
TH17	g14	4.00817431299537	2
TH17	g15	-0.246688143210002	2
TH17	g16	-0.0528118208253916	2
TH17	g17	-0.171572048063503	2
TH17	g18	-0.198281911768049	2
TH17	g19	-0.419300251968466	2
TH17	g20	-0.277154457062217	2
TH17	g21	-0.335555125735202	2
TH17	g22	1.61389921800664	2
TH17	g23	-0.429008175263038	2
TH17	g24	-0.465402159824171	2
TH17	g25	-0.465402159824171	2
TH17	g26	-0.315849298962576	2
Cd8_eff	g0	-0.301727293296622	2
Cd8_eff	g1	-0.247110690697926	2
Cd8_eff	g2	-0.300726466975962	2
Cd8_eff	g3	-0.300019740757084	2
Cd8_eff	g4	-0.30157556368411	2
Cd8_eff	g5	-0.110742245620769	2
Cd8_eff	g6	-0.297351895734919	2
Cd8_eff	g7	-0.290979754802402	2
Cd8_eff	g8	-0.301363386401319	2
Cd8_eff	g9	2.09103141371256	2
Cd8_eff	g10	4.09345146320577	2
Cd8_eff	g11	-0.298342136978367	2
Cd8_eff	g12	-0.298838980523007	2
Cd8_eff	g13	-0.299368920888832	2
Cd8_eff	g14	-0.276034594362767	2
Cd8_eff	g15	-0.299570061257912	2
Cd8_eff	g16	-0.295541386426053	2
Cd8_eff	g17	-0.280614281002347	2
Cd8_eff	g18	0.177300427483156	2
Cd8_eff	g19	-0.285093835972432	2
Cd8_eff	g20	-0.301210809316981	2
Cd8_eff	g21	0.166237994777437	2
Cd8_eff	g22	-0.281638844865011	2
Cd8_eff	g23	-0.296919008366123	2
Cd8_eff	g24	-0.30100018848919	2
Cd8_eff	g25	-0.265155723833637	2
Cd8_eff	g26	-0.29709548892515	2
CD8_T	g0	-0.313104142819548	2
CD8_T	g1	0.380848223479458	2
CD8_T	g2	-0.312424660902066	2
CD8_T	g3	-0.312867060142989	2
CD8_T	g4	-0.311438460811504	2
CD8_T	g5	-0.186467586400117	2
CD8_T	g6	-0.310155957717986	2
CD8_T	g7	-0.28805254056837	2
CD8_T	g8	-0.313038969823981	2
CD8_T	g9	2.35178888358196	2
CD8_T	g10	0.485794353292779	2
CD8_T	g11	-0.308128583332356	2
CD8_T	g12	-0.312226396082931	2
CD8_T	g13	-0.31234713459592	2
CD8_T	g14	-0.21686005605869	2
CD8_T	g15	-0.312556989543944	2
CD8_T	g16	-0.309883422747916	2
CD8_T	g17	-0.288197069371706	2
CD8_T	g18	0.0949828189128726	2
CD8_T	g19	-0.104386050151279	2
CD8_T	g20	-0.313533975303523	2
CD8_T	g21	0.0320521414645208	2
CD8_T	g22	-0.283626469778505	2
CD8_T	g23	-0.290033033400758	2
CD8_T	g24	-0.310277804800438	2
CD8_T	g25	2.26238538972157	2
CD8_T	g26	0.10175455390137	2
NK	g0	-0.41284074414748	3
NK	g1	-0.3187701279724	3
NK	g2	-0.413755369224343	3
NK	g3	-0.415760915828171	3
NK	g4	-0.417482217695964	3
NK	g5	0.486609227005985	3
NK	g6	-0.411515150749736	3
NK	g7	0.7430322606297	3
NK	g8	-0.417683129918188	3
NK	g9	-0.0489816028446156	3
NK	g10	2.37143756266665	3
NK	g11	-0.41661219942821	3
NK	g12	-0.407273490730454	3
NK	g13	-0.409890305632518	3
NK	g14	-0.360733461258331	3
NK	g15	-0.418262024386943	3
NK	g16	-0.415162473750764	3
NK	g17	-0.410859387466911	3
NK	g18	-0.189452668190819	3
NK	g19	0.546798780624573	3
NK	g20	-0.419071525798905	3
NK	g21	-0.126681217072765	3
NK	g22	-0.0822764427192813	3
NK	g23	0.491734168017617	3
NK	g24	-0.417152642854126	3
NK	g25	1.86859181390484	3
NK	g26	0.42201328482156	3
