cluster	gene	avg_expr
g0	Slc12a3	100.105910938977
g0	Slc12a1	0.225727961917909
g0	Il17re	0.13036784205534
g0	Fcer1g	0.123887655155854
g0	Aqp2	0.0962509751324569
g0	Ccl5	0.0382867088104435
g0	Atp6v0d2	0.0351444732432855
g0	Hmx2	0.0291073248147073
g0	Trpv5	0.0236617522811141
g0	Aqp6	0.0169098692659345
g1	Ccl5	7.8333675898252
g1	Il7r	7.5658962058611
g1	Tcf7	4.79716376143075
g1	Cd3e	3.39926073918137
g1	Cd8b1	2.98294521933572
g1	Cd8a	1.11481924484058
g1	Cd7	0.709878855912062
g1	Slc12a3	0.399410054818276
g1	Fcer1g	0.142259401143011
g1	Ccr6	0.12801613995118
g2	Slc12a3	36.5164839187255
g2	Slc12a1	0.347086477193078
g2	Aqp2	0.334646724692333
g2	Fcer1g	0.156742728023752
g2	Atp6v0d2	0.149694905742297
g2	Il17re	0.0992108987668363
g2	Hmx2	0.0885172817459038
g2	Ccl5	0.0856826451501096
g2	Trpv5	0.0409071920828874
g2	C1qb	0.0313036951394608
g3	Slc12a1	41.7847592057015
g3	Slc12a3	1.12083515390358
g3	Il17re	0.556829602292573
g3	Ccl5	0.201825262230397
g3	Atp6v0d2	0.15560735235639
g3	Aqp2	0.128747411565218
g3	Fcer1g	0.076511433097991
g3	Hmx2	0.0747464478526279
g3	Emcn	0.0389403784756825
g3	Gzma	0.0276344392475586
g4	Slc12a3	39.9230355677241
g4	Trpv5	1.21623638328239
g4	Aqp2	0.540455313258131
g4	Il17re	0.289411081495816
g4	Slc12a1	0.222248509063202
g4	Atp6v0d2	0.11825329518069
g4	Ccl5	0.0847423405906089
g4	Hmx2	0.0706832262114374
g4	Aqp6	0.0628375280131515
g4	Fcer1g	0.0445563569531487
g5	Ccl5	27.5394547366423
g5	Cd3e	5.51940428282627
g5	Il7r	3.3206184384335
g5	Xcl1	1.93619027944668
g5	Tcf7	1.0987150827133
g5	Ccl4	0.631175316645656
g5	Fcer1g	0.605985512371951
g5	Cd7	0.510759083287027
g5	Cd8b1	0.399652799994453
g5	Slc12a3	0.275361426920939
g6	Emcn	24.3752484887113
g6	Slc12a3	2.29040197616061
g6	Plvap	1.57219365650283
g6	Ccl5	0.522282247116935
g6	Slc12a1	0.492451610595145
g6	Aqp2	0.355406021697275
g6	Hmx2	0.157346378115595
g6	Fcer1g	0.148962430260569
g6	C1qb	0.0580345149521438
g6	C1qa	0.046911030060454
g7	Fcer1g	34.0487910649626
g7	F13a1	2.25564209842452
g7	Ccl5	1.07918782605408
g7	Slc12a3	0.771299630471658
g7	C1qb	0.491026562019344
g7	Clec10a	0.295326398024599
g7	Cd209a	0.199474321303513
g7	C1qa	0.152045552438053
g7	Gzma	0.138980175279177
g7	Ccl4	0.133209915596658
g8	Aqp2	44.8084667606243
g8	Slc12a3	2.90761042484418
g8	Trpv5	1.25228778758934
g8	Il17re	0.997214074732845
g8	Slc12a1	0.561343745246244
g8	Cd8a	0.230076899164716
g8	Atp6v0d2	0.10031868667624
g8	Ccl5	0.0924236283695247
g8	Hmx2	0.0522516176570601
g8	Aqp6	0.0504515593470589
g9	Ccl5	282.489562346133
g9	Gzma	16.9323878803622
g9	Cd8b1	10.9190936018637
g9	Cd3e	5.4743818614114
g9	Cd8a	5.16621895331933
g9	Ccl4	2.39022628782413
g9	Il7r	1.46633225648913
g9	Cd7	1.22471944312191
g9	Tcf7	0.892566272425313
g9	Xcl1	0.520035313799314
g10	Ccl5	266.982738972361
g10	Gzma	94.0122274337043
g10	Fcer1g	22.214004751913
g10	Ccl4	14.3082125226806
g10	Ncr1	9.58907613279207
g10	Cd7	4.24286007465414
g10	Xcl1	3.65074304102659
g10	Il7r	0.89024302238661
g10	Slc12a3	0.815686289935053
g10	Tcf7	0.469183645265067
g11	Aqp6	18.9995258117092
g11	Atp6v0d2	5.694069261062
g11	Slc12a3	2.19867678594412
g11	Il17re	0.350256759454064
g11	Ccl5	0.233758961675068
g11	Aqp2	0.18583110683041
g11	Slc12a1	0.127787586360307
g11	Ccl4	0.0851512450195874
g11	Gzma	0.0809896246116139
g11	Trpv5	0.0760306616412419
g12	Hmx2	9.00124115742998
g12	Atp6v0d2	7.44820628669802
g12	Aqp2	3.36624584314612
g12	Aqp6	1.72038025981565
g12	Slc12a3	1.22199502088323
g12	Ccl5	0.340256568684018
g12	Il17re	0.305003573717073
g12	Slc12a1	0.272791456829931
g12	Trpv5	0.0622657193881797
g12	Emcn	0.0556940673937614
g13	Slc12a3	3.25071400549356
g13	Ccl5	0.367665200075008
g13	Emcn	0.266258698299479
g13	Slc12a1	0.117749716887888
g13	Aqp2	0.112056268641413
g13	Fcer1g	0.0939428969199444
g13	Hmx2	0.0707996864899311
g13	Cd7	0.0351109340658505
g13	Atp6v0d2	0.03329015362653
g13	Trpv5	0.0222799445490783
g14	Il7r	7.62834675060509
g14	Cd3e	4.72310781476585
g14	Ccr6	3.39252358430971
g14	Ccl5	3.09381862118635
g14	Tcf7	1.9758675871466
g14	Il17re	1.36228708669095
g14	Cd8b1	0.411609691528238
g14	Cd7	0.267962391987784
g14	Cd8a	0.223096322707254
g14	Slc12a3	0.18358482767294
g15	Hmx2	13.8777224308779
g15	Atp6v0d2	7.40987870253286
g15	Slc12a3	2.58916283577926
g15	Slc12a1	0.289146740560537
g15	Aqp6	0.229005356142416
g15	Ccl5	0.213251732885331
g15	Aqp2	0.169520034095374
g15	Il17re	0.155489290996081
g15	Trpv5	0.0807770652623127
g15	C1qa	0.0451031131346213
g16	Slc12a3	7.79632191721589
g16	Ccl5	0.822528924624543
g16	Nphs1	0.34660852694842
g16	Il17re	0.286364726509616
g16	Slc12a1	0.185059415243822
g16	Trpv5	0.160394436511052
g16	C1qb	0.056928356350389
g16	Atp6v0d2	0.0466607889873833
g16	Aqp2	0.0418661184634406
g16	Gzma	0.0363195251295676
g17	Cd79a	14.3887275909401
g17	Cd79b	11.0636385749462
g17	Ccl5	2.57563698926528
g17	Slc12a3	0.592705734041486
g17	Il7r	0.471946296111186
g17	Ccr6	0.389787098523412
g17	Slc12a1	0.297050186423858
g17	Cd3e	0.22355886900755
g17	Gzma	0.144149144872917
g17	Cd8b1	0.107101004828476
g18	Ccl5	68.8319882383018
g18	Il7r	6.20150322447747
g18	Cd3e	3.11266328141512
g18	Cd8b1	1.65344913765977
g18	Cd8a	0.879819748815265
g18	Tcf7	0.730997125975527
g18	Slc12a3	0.571839300181276
g18	Cd7	0.514474561639413
g18	Ccl4	0.452475629898349
g18	Xcl1	0.382938225022511
g19	C1qa	39.3311264187571
g19	C1qb	37.5393792717565
g19	Fcer1g	28.236336484269
g19	Ccl4	3.78939920584855
g19	Ccl5	2.27353810842925
g19	Slc12a3	1.03957958145477
g19	Cd79b	0.5030714145726
g19	Clec10a	0.343124485750633
g19	Aqp2	0.269183234033062
g19	Cd209a	0.238384019150083
g20	Slc12a1	43.2211440989344
g20	Slc12a3	1.13760319305073
g20	Aqp2	0.154922063405153
g20	Ccl5	0.13812963804194
g20	Il17re	0.13383002281803
g20	C1qa	0.0566995474007323
g20	Cd79b	0.0563990152036614
g20	Hmx2	0.0312230800232241
g20	Nphs1	0.0223084816847365
