"cluster","cell_type","total_score","n_supporting_markers","best_marker","best_marker_score"
"0","DCT",872.215137338122,1,"Slc12a3",872.215137338122
"0","ALOH",0,0,"Slc12a1",0
"0","A_IC",0,0,"Aqp6",0
"0","B_Cell",0,0,"Cd79a",0
"0","B_IC",0,0,"Atp6v0d2",0
"0","Baso",0,0,"Fcer1a",0
"0","CD4_T",0,0,"Tcf7",0
"0","CD8_T",0,0,"Cd8a",0
"0","CD_PC",0,0,"Aqp2",0
"0","CNT",0,0,"Trpv5",0
"0","DC",0,0,"Clec10a",0
"0","GEC",0,0,"Plvap",0
"0","Macro",0,0,"C1qa",0
"0","TH17",0,0,"Il17re",0
"0","Tra_IC",0,0,"Hmx2",0
"0","Treg",0,0,"Foxp3",0
"0","pDC",0,0,"Siglech",0
"1","ALOH",1979.49474717243,1,"Slc12a1",1979.49474717243
"1","TH17",1.46920319797916,1,"Il17re",1.46920319797916
"1","A_IC",0,0,"Aqp6",0
"1","B_Cell",0,0,"Cd79a",0
"1","B_IC",0,0,"Atp6v0d2",0
"1","Baso",0,0,"Fcer1a",0
"1","CD4_T",0,0,"Tcf7",0
"1","CD8_T",0,0,"Cd8a",0
"1","CD_PC",0,0,"Aqp2",0
"1","CNT",0,0,"Trpv5",0
"1","DC",0,0,"Cd209a",0
"1","DCT",0,0,"Slc12a3",0
"1","GEC",0,0,"Plvap",0
"1","Macro",0,0,"C1qa",0
"1","Tra_IC",0,0,"Hmx2",0
"1","Treg",0,0,"Foxp3",0
"1","pDC",0,0,"Siglech",0
"10","CD8_T",790.173100223461,1,"Cd8a",790.173100223461
"10","CD4_T",0.213350751932647,1,"Tcf7",0.213350751932647
"10","ALOH",0,0,"Slc12a1",0
"10","A_IC",0,0,"Aqp6",0
"10","B_Cell",0,0,"Cd79a",0
"10","B_IC",0,0,"Atp6v0d2",0
"10","Baso",0,0,"Fcer1a",0
"10","CD_PC",0,0,"Aqp2",0
"10","CNT",0,0,"Trpv5",0
"10","DC",0,0,"Clec10a",0
"10","DCT",0,0,"Slc12a3",0
"10","GEC",0,0,"Plvap",0
"10","Macro",0,0,"C1qa",0
"10","TH17",0,0,"Ccr6",0
"10","Tra_IC",0,0,"Hmx2",0
"10","Treg",0,0,"Foxp3",0
"10","pDC",0,0,"Siglech",0
"11","ALOH",0,0,"Slc12a1",0
"11","A_IC",0,0,"Aqp6",0
"11","B_Cell",0,0,"Cd79a",0
"11","B_IC",0,0,"Atp6v0d2",0
"11","Baso",0,0,"Fcer1a",0
"11","CD4_T",0,0,"Tcf7",0
"11","CD8_T",0,0,"Cd8a",0
"11","CD_PC",0,0,"Aqp2",0
"11","CNT",0,0,"Trpv5",0
"11","DC",0,0,"Clec10a",0
"11","DCT",0,0,"Slc12a3",0
"11","GEC",0,0,"Plvap",0
"11","Macro",0,0,"C1qa",0
"11","TH17",0,0,"Ccr6",0
"11","Tra_IC",0,0,"Hmx2",0
"11","Treg",0,0,"Foxp3",0
"11","pDC",0,0,"Siglech",0
"12","A_IC",2026.96891202305,1,"Aqp6",2026.96891202305
"12","B_IC",742.733584906303,1,"Atp6v0d2",742.733584906303
"12","TH17",0.370392321195729,1,"Il17re",0.370392321195729
"12","ALOH",0,0,"Slc12a1",0
"12","B_Cell",0,0,"Cd79a",0
"12","Baso",0,0,"Fcer1a",0
"12","CD4_T",0,0,"Tcf7",0
"12","CD8_T",0,0,"Cd8a",0
"12","CD_PC",0,0,"Aqp2",0
"12","CNT",0,0,"Trpv5",0
"12","DC",0,0,"Cd209a",0
"12","DCT",0,0,"Slc12a3",0
"12","GEC",0,0,"Plvap",0
"12","Macro",0,0,"C1qa",0
"12","Tra_IC",0,0,"Hmx2",0
"12","Treg",0,0,"Foxp3",0
"12","pDC",0,0,"Siglech",0
"13","ALOH",0,0,"Slc12a1",0
"13","A_IC",0,0,"Aqp6",0
"13","B_Cell",0,0,"Cd79a",0
"13","B_IC",0,0,"Atp6v0d2",0
"13","Baso",0,0,"Fcer1a",0
"13","CD4_T",0,0,"Tcf7",0
"13","CD8_T",0,0,"Cd8a",0
"13","CD_PC",0,0,"Aqp2",0
"13","CNT",0,0,"Trpv5",0
"13","DC",0,0,"Cd209a",0
"13","DCT",0,0,"Slc12a3",0
"13","GEC",0,0,"Emcn",0
"13","Macro",0,0,"C1qa",0
"13","TH17",0,0,"Ccr6",0
"13","Tra_IC",0,0,"Hmx2",0
"13","Treg",0,0,"Foxp3",0
"13","pDC",0,0,"Siglech",0
"14","TH17",1009.37261925829,2,"Ccr6",954.243311867902
"14","CD4_T",46.2533284149344,1,"Tcf7",46.2533284149344
"14","ALOH",0,0,"Slc12a1",0
"14","A_IC",0,0,"Aqp6",0
"14","B_Cell",0,0,"Cd79a",0
"14","B_IC",0,0,"Atp6v0d2",0
"14","Baso",0,0,"Fcer1a",0
"14","CD8_T",0,0,"Cd8a",0
"14","CD_PC",0,0,"Aqp2",0
"14","CNT",0,0,"Trpv5",0
"14","DC",0,0,"Cd209a",0
"14","DCT",0,0,"Slc12a3",0
"14","GEC",0,0,"Plvap",0
"14","Macro",0,0,"C1qa",0
"14","Tra_IC",0,0,"Hmx2",0
"14","Treg",0,0,"Foxp3",0
"14","pDC",0,0,"Siglech",0
"15","TH17",0.0285942369300829,1,"Il17re",0.0285942369300829
"15","ALOH",0,0,"Slc12a1",0
"15","A_IC",0,0,"Aqp6",0
"15","B_Cell",0,0,"Cd79a",0
"15","B_IC",0,0,"Atp6v0d2",0
"15","Baso",0,0,"Fcer1a",0
"15","CD4_T",0,0,"Tcf7",0
"15","CD8_T",0,0,"Cd8a",0
"15","CD_PC",0,0,"Aqp2",0
"15","CNT",0,0,"Trpv5",0
"15","DC",0,0,"Clec10a",0
"15","DCT",0,0,"Slc12a3",0
"15","GEC",0,0,"Plvap",0
"15","Macro",0,0,"C1qa",0
"15","Tra_IC",0,0,"Hmx2",0
"15","Treg",0,0,"Foxp3",0
"15","pDC",0,0,"Siglech",0
"16","Macro",2180.5077958688,1,"C1qa",2180.5077958688
"16","ALOH",0,0,"Slc12a1",0
"16","A_IC",0,0,"Aqp6",0
"16","B_Cell",0,0,"Cd79a",0
"16","B_IC",0,0,"Atp6v0d2",0
"16","Baso",0,0,"Fcer1a",0
"16","CD4_T",0,0,"Tcf7",0
"16","CD8_T",0,0,"Cd8a",0
"16","CD_PC",0,0,"Aqp2",0
"16","CNT",0,0,"Trpv5",0
"16","DC",0,0,"Clec10a",0
"16","DCT",0,0,"Slc12a3",0
"16","GEC",0,0,"Plvap",0
"16","TH17",0,0,"Ccr6",0
"16","Tra_IC",0,0,"Hmx2",0
"16","Treg",0,0,"Foxp3",0
"16","pDC",0,0,"Siglech",0
"17","B_Cell",2679.09883911985,1,"Cd79a",2679.09883911985
"17","ALOH",0,0,"Slc12a1",0
"17","A_IC",0,0,"Aqp6",0
"17","B_IC",0,0,"Atp6v0d2",0
"17","Baso",0,0,"Fcer1a",0
"17","CD4_T",0,0,"Tcf7",0
"17","CD8_T",0,0,"Cd8a",0
"17","CD_PC",0,0,"Aqp2",0
"17","CNT",0,0,"Trpv5",0
"17","DC",0,0,"Cd209a",0
"17","DCT",0,0,"Slc12a3",0
"17","GEC",0,0,"Plvap",0
"17","Macro",0,0,"C1qa",0
"17","TH17",0,0,"Ccr6",0
"17","Tra_IC",0,0,"Hmx2",0
"17","Treg",0,0,"Foxp3",0
"17","pDC",0,0,"Siglech",0
"18","DC",1393.71517145125,2,"Cd209a",1027.84317724323
"18","pDC",864.61332095944,1,"Siglech",864.61332095944
"18","ALOH",0,0,"Slc12a1",0
"18","A_IC",0,0,"Aqp6",0
"18","B_Cell",0,0,"Cd79a",0
"18","B_IC",0,0,"Atp6v0d2",0
"18","Baso",0,0,"Fcer1a",0
"18","CD4_T",0,0,"Tcf7",0
"18","CD8_T",0,0,"Cd8a",0
"18","CD_PC",0,0,"Aqp2",0
"18","CNT",0,0,"Trpv5",0
"18","DCT",0,0,"Slc12a3",0
"18","GEC",0,0,"Plvap",0
"18","Macro",0,0,"C1qa",0
"18","TH17",0,0,"Ccr6",0
"18","Tra_IC",0,0,"Hmx2",0
"18","Treg",0,0,"Foxp3",0
"19","ALOH",0,0,"Slc12a1",0
"19","A_IC",0,0,"Aqp6",0
"19","B_Cell",0,0,"Cd79a",0
"19","B_IC",0,0,"Atp6v0d2",0
"19","Baso",0,0,"Fcer1a",0
"19","CD4_T",0,0,"Tcf7",0
"19","CD8_T",0,0,"Cd8a",0
"19","CD_PC",0,0,"Aqp2",0
"19","CNT",0,0,"Trpv5",0
"19","DC",0,0,"Cd209a",0
"19","DCT",0,0,"Slc12a3",0
"19","GEC",0,0,"Plvap",0
"19","Macro",0,0,"C1qa",0
"19","TH17",0,0,"Ccr6",0
"19","Tra_IC",0,0,"Hmx2",0
"19","Treg",0,0,"Foxp3",0
"19","pDC",0,0,"Siglech",0
"2","DCT",153.772305901848,1,"Slc12a3",153.772305901848
"2","ALOH",0,0,"Slc12a1",0
