cluster	gene	avg_log2FC	pct.1	pct.2	p_val_adj
0	Slc12a3	3.66630995097991	0.997	0.204	0
0	Il17re	-0.886743769456339	0.037	0.054	0.0439799097820348
0	Trpv5	-2.98778529127667	0.01	0.039	8.17717042546895e-19
0	Ace	-3.1951932045359	0.004	0.026	8.230761121745e-14
0	Cox6a2	-3.7318400623857	0.003	0.006	0.671236399836333
0	Plvap	-3.88431619988696	0.001	0.007	0.373226012093431
0	Mki67	-4.19906927209448	0.003	0.036	7.5461973557655e-26
0	Slc12a1	-4.29771120644189	0.034	0.112	2.52106965446961e-94
0	Atp6v0d2	-4.43374939441812	0.011	0.087	2.15125839960094e-71
0	Hmx2	-4.59367491183727	0.009	0.051	1.84753078003818e-35
0	Aqp2	-4.87198081360808	0.019	0.073	1.54961260915392e-47
0	Cd300c	-5.1739481423922	0	0.003	1
0	Aqp6	-5.57481001838033	0.005	0.044	5.66995737371088e-38
0	Nphs2	-5.78907003143923	0.001	0.006	0.0132531518144074
0	Foxp3	-6.26279955454959	0	0.005	0.0185122691221391
0	Kdr	-6.37790655154915	0.002	0.048	4.0540739516729e-46
0	Fcer1a	-6.41798711187075	0	0.003	1
0	Cd200r3	-6.68515308897643	0	0.005	0.0185122691161355
0	Mcpt8	-6.76173210520284	0	0.002	1
0	Tcf7	-6.88251203266555	0.002	0.098	2.38407817865073e-107
0	Cd79a	-6.93459988251473	0.001	0.016	1.46365111415947e-13
0	Tnfrsf18	-7.01779779860671	0.001	0.064	6.0182548499967e-70
0	Clec10a	-7.26363813730523	0	0.012	1.82296810680609e-11
0	Siglech	-7.77380553851739	0	0.006	0.000816432174978833
0	Cd209a	-7.86303327570324	0	0.009	8.31597875956986e-08
0	Emcn	-7.96154774882416	0.002	0.056	1.62197074313257e-57
0	Ms4a1	-8.50990731685702	0	0.01	2.28584530205947e-09
0	Ccr6	-8.54785020908345	0	0.023	4.44153832763821e-24
0	C1qa	-8.69537303306138	0	0.016	1.71131087967047e-13
0	Lef1	-8.9121231616398	0.001	0.076	7.7938171658003e-87
0	Nkg7	-9.22319749620189	0.003	0.182	2.40452276244756e-219
0	Cd8a	-9.31974485975641	0	0.057	3.56492790758968e-63
0	Cd4	-9.61059179652089	0	0.05	1.18796370487623e-57
0	Gzma	-9.64274782549715	0.001	0.064	1.24085148048082e-68
0	Ccl5	-9.64348737726868	0.013	0.191	7.08357718738014e-205
1	Slc12a1	7.55820827480883	0.897	0.024	0
1	Il17re	1.35155606967131	0.1	0.047	3.08818987731797e-21
1	Atp6v0d2	-2.30604748222599	0.031	0.083	2.59860043453858e-28
1	Ace	-2.61269436906077	0.004	0.026	2.72722535006868e-09
1	Hmx2	-3.29904316380093	0.009	0.05	6.79905767808668e-21
1	Trpv5	-3.36489525231948	0.003	0.039	2.11154511843329e-23
1	Plvap	-3.52810372057878	0.001	0.007	1
1	Cox6a2	-3.66958561515849	0.002	0.006	1
1	Slc12a3	-4.16828291298559	0.096	0.314	2.37001775909139e-195
1	Mki67	-4.22335167643183	0.003	0.035	6.53900111078537e-20
